price_paid,deed_date,postcode,paon,street,town,district,dataset
136645,2000-03-01,,,,London,lambeth,dataset
142636,2000-04-01,,,,London,lambeth,dataset
145228,2000-05-01,,,,London,lambeth,dataset
149818,2000-06-01,,,,London,lambeth,dataset
148317,2000-07-01,,,,London,lambeth,dataset
151419,2000-08-01,,,,London,lambeth,dataset
154821,2000-09-01,,,,London,lambeth,dataset
157638,2000-10-01,,,,London,lambeth,dataset
161435,2000-11-01,,,,London,lambeth,dataset
160732,2000-12-01,,,,London,lambeth,dataset
160849,2001-01-01,,,,London,lambeth,dataset
155593,2001-02-01,,,,London,lambeth,dataset
155945,2001-03-01,,,,London,lambeth,dataset
157274,2001-04-01,,,,London,lambeth,dataset
164437,2001-05-01,,,,London,lambeth,dataset
167111,2001-06-01,,,,London,lambeth,dataset
169085,2001-07-01,,,,London,lambeth,dataset
169960,2001-08-01,,,,London,lambeth,dataset
169825,2001-09-01,,,,London,lambeth,dataset
168657,2001-10-01,,,,London,lambeth,dataset
167426,2001-11-01,,,,London,lambeth,dataset
170055,2001-12-01,,,,London,lambeth,dataset
177905,2002-01-01,,,,London,lambeth,dataset
178205,2002-02-01,,,,London,lambeth,dataset
179062,2002-03-01,,,,London,lambeth,dataset
176703,2002-04-01,,,,London,lambeth,dataset
181198,2002-05-01,,,,London,lambeth,dataset
186023,2002-06-01,,,,London,lambeth,dataset
192324,2002-07-01,,,,London,lambeth,dataset
200269,2002-08-01,,,,London,lambeth,dataset
203606,2002-09-01,,,,London,lambeth,dataset
203613,2002-10-01,,,,London,lambeth,dataset
201927,2002-11-01,,,,London,lambeth,dataset
204576,2002-12-01,,,,London,lambeth,dataset
205905,2003-01-01,,,,London,lambeth,dataset
207346,2003-02-01,,,,London,lambeth,dataset
203618,2003-03-01,,,,London,lambeth,dataset
201857,2003-04-01,,,,London,lambeth,dataset
197154,2003-05-01,,,,London,lambeth,dataset
196732,2003-06-01,,,,London,lambeth,dataset
198036,2003-07-01,,,,London,lambeth,dataset
203688,2003-08-01,,,,London,lambeth,dataset
206706,2003-09-01,,,,London,lambeth,dataset
206501,2003-10-01,,,,London,lambeth,dataset
206517,2003-11-01,,,,London,lambeth,dataset
206467,2003-12-01,,,,London,lambeth,dataset
212766,2004-01-01,,,,London,lambeth,dataset
211752,2004-02-01,,,,London,lambeth,dataset
213243,2004-03-01,,,,London,lambeth,dataset
