price_paid,deed_date,postcode,paon,street,town,district,dataset,tag
170000,2007-11-26,SW2 2NG,15,SCARLETTE MANOR WAY,LONDON,LAMBETH,dataset,1 bed
150000,2005-08-30,SW2 2QU,27,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,1 bed
160500,2006-08-23,SW2 2QU,31,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,1 bed
500000,2016-03-31,SW2 2QX,10,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,4 bed
297500,2012-02-03,SW2 2QX,10,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,4 bed
275000,2008-01-28,SW2 2QX,10,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,4 bed
81500,1998-01-27,SW2 2QX,10,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,4 bed
218000,2005-03-18,SW2 2QX,12,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,1 bed
67000,1997-05-22,SW2 2QX,2,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,4 bed
145000,2002-02-11,SW2 2QY,18,UPGROVE MANOR WAY,LONDON,LAMBETH,dataset,4 bed
67771,1995-01-01,,,,London,lambeth,dataset,lambeth average
65382,1995-02-01,,,,London,lambeth,dataset,lambeth average
66337,1995-03-01,,,,London,lambeth,dataset,lambeth average
66389,1995-04-01,,,,London,lambeth,dataset,lambeth average
69035,1995-05-01,,,,London,lambeth,dataset,lambeth average
68881,1995-06-01,,,,London,lambeth,dataset,lambeth average
69609,1995-07-01,,,,London,lambeth,dataset,lambeth average
68840,1995-08-01,,,,London,lambeth,dataset,lambeth average
70156,1995-09-01,,,,London,lambeth,dataset,lambeth average
69616,1995-10-01,,,,London,lambeth,dataset,lambeth average
68054,1995-11-01,,,,London,lambeth,dataset,lambeth average
67199,1995-12-01,,,,London,lambeth,dataset,lambeth average
68780,1996-01-01,,,,London,lambeth,dataset,lambeth average
72306,1996-02-01,,,,London,lambeth,dataset,lambeth average
